post_id,true_label,pred_label,explanation_id,faithfulness,clinical_relevance,actionability
1,minimum,minimum,SHAP,4,2,2
1,minimum,minimum,CoT_A,5,4,2
1,minimum,minimum,CoT_B,3,4,3
2,minimum,minimum,SHAP,3,2,1
2,minimum,minimum,CoT_A,3,3,2
2,minimum,minimum,CoT_B,4,4,3
3,minimum,minimum,SHAP,4,3,3
3,minimum,minimum,CoT_A,3,3,2
3,minimum,minimum,CoT_B,5,5,3
4,minimum,minimum,SHAP,4,3,2
4,minimum,minimum,CoT_A,1,1,1
4,minimum,minimum,CoT_B,5,5,
5,minimum,minimum,SHAP,3,2,3
5,minimum,minimum,CoT_A,5,5,4
5,minimum,minimum,CoT_B,5,5,5
6,minimum,minimum,SHAP,4,3,3
6,minimum,minimum,CoT_A,4,5,3
6,minimum,minimum,CoT_B,1,1,1
7,minimum,moderate,SHAP,3,3,4
7,minimum,moderate,CoT_A,4,3,3
7,minimum,moderate,CoT_B,5,4,4
8,minimum,severe,SHAP,3,2,3
8,minimum,severe,CoT_A,4,3,2
8,minimum,severe,CoT_B,4,3,2
9,mild,mild,SHAP,5,3,4
9,mild,mild,CoT_A,5,4,3
9,mild,mild,CoT_B,4,3,3
10,mild,mild,SHAP,5,4,3
10,mild,mild,CoT_A,5,3,3
10,mild,mild,CoT_B,5,4,4
11,mild,mild,SHAP,5,3,4
11,mild,mild,CoT_A,5,4,4
11,mild,mild,CoT_B,5,4,4
12,mild,mild,SHAP,4,3,3
12,mild,mild,CoT_A,5,4,4
12,mild,mild,CoT_B,5,4,3
13,mild,mild,SHAP,5,2,3
13,mild,mild,CoT_A,4,3,3
13,mild,mild,CoT_B,4,4,3
14,mild,mild,SHAP,5,2,3
14,mild,mild,CoT_A,5,2,2
14,mild,mild,CoT_B,3,3,5
315,mild,minimum,SHAP,3,3,2
4145,mild,minimum,CoT_A,4,2,2
15,mild,minimum,CoT_B,3,3,2
16,mild,moderate,SHAP,4,3,3
16,mild,moderate,CoT_A,3,2,2
16,mild,moderate,CoT_B,2,2,2
17,moderate,moderate,SHAP,5,3,3
17,moderate,moderate,CoT_A,5,4,4
17,moderate,moderate,CoT_B,5,3,2
18,moderate,moderate,SHAP,5,2,2
18,moderate,moderate,CoT_A,4,3,3
18,moderate,moderate,CoT_B,5,4,2
19,moderate,moderate,SHAP,4,3,3
19,moderate,moderate,CoT_A,5,3,3
19,moderate,moderate,CoT_B,5,3,3
20,moderate,moderate,SHAP,5,2,2
20,moderate,moderate,CoT_A,4,3,2
20,moderate,moderate,CoT_B,5,4,4
21,moderate,moderate,SHAP,4,2,3
21,moderate,moderate,CoT_A,5,4,4
21,moderate,moderate,CoT_B,5,4,4
22,moderate,moderate,SHAP,4,3,3
22,moderate,moderate,CoT_A,4,4,4
22,moderate,moderate,CoT_B,5,4,4
23,moderate,mild,SHAP,2,2,1
23,moderate,mild,CoT_A,4,4,3
23,moderate,mild,CoT_B,4,3,3
24,moderate,mild,SHAP,2,2,1
24,moderate,mild,CoT_A,5,4,3
24,moderate,mild,CoT_B,4,4,4
25,severe,severe,SHAP,5,3,5
25,severe,severe,CoT_A,5,5,4
25,severe,severe,CoT_B,4,4,3
26,severe,severe,SHAP,4,3,4
26,severe,severe,CoT_A,3,3,4
26,severe,severe,CoT_B,5,5,5
27,severe,severe,SHAP,5,3,5
27,severe,severe,CoT_A,2,2,3
27,severe,severe,CoT_B,5,5,5
28,severe,severe,SHAP,5,3,15
28,severe,severe,CoT_A,1,1,1
28,severe,severe,CoT_B,4,4,3
29,severe,severe,SHAP,5,3,4
29,severe,severe,CoT_A,5,5,5
29,severe,severe,CoT_B,3,3,2
30,severe,severe,SHAP,5,3,4
30,severe,severe,CoT_A,5,5,5
30,severe,severe,CoT_B,4,4,4
31,severe,mild,SHAP,2,1,1
31,severe,mild,CoT_A,3,3,2
31,severe,mild,CoT_B,2,2,2
32,severe,moderate,SHAP,2,2,2
32,severe,moderate,CoT_A,5,2,2
32,severe,moderate,CoT_B,3,2,2
